seed,slot,path,phase,status,start_attempt,actual_attempt,successful_updates_total,processed_nimg,process_gpuh,started_utc,ended_utc,receipt,source_receipt_sha256,phase_attempts,phase_successful_updates,phase_skips,worker_checkpoint_cursor
52,S03,DA,prefix,PASS,0,4000,3989,512000,1.8305829276041024,2026-09-08T08:19:10.511326+00:00,2026-09-08T10:09:00.609844+00:00,final_delivery/training_stage_receipts/S03-DA-prefix.json,af97b33c0e8434c34f10d53a629381c1c0c895a73e40149bc5ef5b18b900a3de,4000,3989,11,4000
52,S03,DA,suffix,PASS,4000,8000,7987,1024000,2.0111420144376138,2026-09-08T10:09:01.644873+00:00,2026-09-08T12:09:41.756104+00:00,final_delivery/training_stage_receipts/S03-DA-suffix.json,50079317f282510a2eab7fd399099c960a7f08716fa2004b4b12043696b41bb8,4000,3998,2,8000
53,S04,CA,prefix,PASS,0,4000,3989,512000,1.8833615081855613,2026-09-08T08:19:35.373956+00:00,2026-09-08T10:12:35.475365+00:00,final_delivery/training_stage_receipts/S04-CA-prefix.json,664fdd7edead47a5accc1022fef96ce630421d77f6cbaf95fdcfccecbf28cf7f,4000,3989,11,4000
53,S04,CA,suffix,PASS,4000,8000,7987,1024000,2.0305861053582177,2026-09-08T10:12:36.416703+00:00,2026-09-08T12:14:26.526656+00:00,final_delivery/training_stage_receipts/S04-CA-suffix.json,3e87d6c81caf1e3618d1a8e2fc2c1e3a461320aa6895bdca10be95a73feb68ef,4000,3998,2,8000
53,S04,DA,prefix,PASS,0,4000,3989,512000,1.8055822787126008,2026-09-08T04:30:26.592806+00:00,2026-09-08T06:18:46.688985+00:00,final_delivery/training_stage_receipts/S04-DA-prefix.json,cd4f06096b2c32090e6c5168f1aa25036a7f1f2f932a6038d71880a0b08d0fdc,4000,3989,11,4000
53,S04,DA,suffix,PASS,4000,8000,7988,1024000,2.01252967675915,2026-09-08T06:18:48.204441+00:00,2026-09-08T08:19:33.311257+00:00,final_delivery/training_stage_receipts/S04-DA-suffix.json,26f3fbe5ba44282eaaa64cf0e3d8e145e91e0ab0b2927a5b042207aa9893094a,4000,3999,1,8000
54,S05,CA,prefix,PASS,0,4000,3989,512000,1.8666949383598856,2026-09-08T04:30:26.492454+00:00,2026-09-08T06:22:26.594209+00:00,final_delivery/training_stage_receipts/S05-CA-prefix.json,68b43fbceaf0c38a82701489d0ff9f7a6e19889d9c54cd3ecd72274c638f463a,4000,3989,11,4000
54,S05,CA,suffix,PASS,4000,8000,7987,1024000,1.9708628316068402,2026-09-08T06:22:28.256951+00:00,2026-09-08T08:20:43.363124+00:00,final_delivery/training_stage_receipts/S05-CA-suffix.json,d36cc2af53a416cd3c79cdef32b3b835e9fa8dee4517fe1dfb93717f34531392,4000,3998,2,8000
54,S05,DA,prefix,PASS,0,4000,3989,512000,1.811138753598142,2026-09-08T08:20:49.616041+00:00,2026-09-08T10:09:29.715522+00:00,final_delivery/training_stage_receipts/S05-DA-prefix.json,0223f9b894a23a9ec205f29ed21ed343fe2f9c8ebbb595201eb8b26ab216888a,4000,3989,11,4000
54,S05,DA,suffix,PASS,4000,8000,7988,1024000,2.0722548725383563,2026-09-08T10:09:30.843578+00:00,2026-09-08T12:13:50.961097+00:00,final_delivery/training_stage_receipts/S05-DA-suffix.json,605397f02e18fe9ebed3a182f1ecf6601bc852d619a5971999fcac2bed2b38a0,4000,3999,1,8000
55,S06,CA,prefix,PASS,0,4000,3989,512000,1.954203329520921,2026-09-08T08:21:54.874628+00:00,2026-09-08T10:19:10.006592+00:00,final_delivery/training_stage_receipts/S06-CA-prefix.json,549b4762c12c20c549c4391afa3e43370d9660337b0de02697a501f90f5829b7,4000,3989,11,4000
55,S06,CA,suffix,PASS,4000,8000,7987,1024000,2.208373693800014,2026-09-08T10:19:11.318544+00:00,2026-09-08T12:31:41.463816+00:00,final_delivery/training_stage_receipts/S06-CA-suffix.json,664f4234c4bf1b72ed6779820d91c797ddab9a76b52943717d3b77f9c954fcfc,4000,3998,2,8000
55,S06,DA,prefix,PASS,0,4000,3990,512000,1.8139160045784795,2026-09-08T04:30:25.804978+00:00,2026-09-08T06:19:15.902572+00:00,final_delivery/training_stage_receipts/S06-DA-prefix.json,8c4e45b347665e43f227d03f469defeb1642b80b1e3d4132ef92cdbd390c1f30,4000,3990,10,4000
55,S06,DA,suffix,PASS,4000,8000,7987,1024000,2.0430878614096177,2026-09-08T06:19:17.419905+00:00,2026-09-08T08:21:52.536175+00:00,final_delivery/training_stage_receipts/S06-DA-suffix.json,353b09f2240407055aaf23486e776ab5fea6d925799d957e8072a64feca250ea,4000,3997,3,8000
56,S07,CA,prefix,PASS,0,4000,3989,512000,1.902808973978584,2026-09-08T04:30:25.794533+00:00,2026-09-08T06:24:35.906817+00:00,final_delivery/training_stage_receipts/S07-CA-prefix.json,1d29b14b3b20e9e465d878292970f891c4e45868b53858bc867311bdeb48f203,4000,3989,11,4000
56,S07,CA,suffix,PASS,4000,8000,7987,1024000,2.0403096360640807,2026-09-08T06:24:37.618163+00:00,2026-09-08T08:27:02.732817+00:00,final_delivery/training_stage_receipts/S07-CA-suffix.json,386b1887e4d304664139b479e16899f175b49fd3b0ae8e679da156f6c1401a27,4000,3998,2,8000
56,S07,DA,prefix,PASS,0,4000,3989,512000,1.933366577638727,2026-09-08T08:27:04.991404+00:00,2026-09-08T10:23:05.111053+00:00,final_delivery/training_stage_receipts/S07-DA-prefix.json,091395c6236fc0f2703ac37671f9f92899274e42e71cff5564de641e8b7e354c,4000,3989,11,4000
56,S07,DA,suffix,PASS,4000,8000,7988,1024000,2.131981482041172,2026-09-08T10:23:06.328541+00:00,2026-09-08T12:31:01.461843+00:00,final_delivery/training_stage_receipts/S07-DA-suffix.json,d99d394e8d827bea56ed69ef6c7c4d357196139c078eb1e721314a5f6199c8a4,4000,3999,1,8000
57,S08,CA,prefix,PASS,0,4000,3989,512000,1.9347550803381535,2026-09-08T08:25:19.757385+00:00,2026-09-08T10:21:24.875643+00:00,final_delivery/training_stage_receipts/S08-CA-prefix.json,9d0288b02db9a0b03ee90426466e652ac30fbd10bea2b3b2fdd71bcd04eec929,4000,3989,11,4000
57,S08,CA,suffix,PASS,4000,8000,7988,1024000,2.1750398521828984,2026-09-08T10:21:26.033570+00:00,2026-09-08T12:31:56.177013+00:00,final_delivery/training_stage_receipts/S08-CA-suffix.json,62fdee4144ad0f17e99128c0e7fdf01b6ebd03ab949ba11fce15ef52286ae619,4000,3999,1,8000
57,S08,DA,prefix,PASS,0,4000,3989,512000,1.8361393466177913,2026-09-08T04:30:25.774501+00:00,2026-09-08T06:20:35.876127+00:00,final_delivery/training_stage_receipts/S08-DA-prefix.json,d0fc405fea898a0cad1434b576e6636581292efa4ff62e93d254f9640485cd55,4000,3989,11,4000
57,S08,DA,suffix,PASS,4000,8000,7988,1024000,2.077811367828399,2026-09-08T06:20:37.447635+00:00,2026-09-08T08:25:17.568507+00:00,final_delivery/training_stage_receipts/S08-DA-suffix.json,dd8b620266aeabada97882623ca928ae68307ea764c3e658ee6529a7bfa16bd5,4000,3999,1,8000
58,S09,CA,prefix,PASS,0,4000,3989,512000,1.8222491355716355,2026-09-08T04:30:25.805516+00:00,2026-09-08T06:19:45.902382+00:00,final_delivery/training_stage_receipts/S09-CA-prefix.json,5b699a94b49c10cc36df5695411a6446b8fb7bab1dc07f1d5e3a6b1e1226edd8,4000,3989,11,4000
58,S09,CA,suffix,SCIENTIFIC_FAILURE,4000,7592,7576,971776,1.841694946349081,2026-09-08T06:19:47.423502+00:00,2026-09-08T08:10:17.525282+00:00,final_delivery/training_stage_receipts/S09-CA-suffix.json,73b13b353f02114af943d8547bc48e2206e75cd66b3b358f7f3f9018a3e1687b,3592,3587,5,7111
58,S09,DA,prefix,PASS,0,4000,3990,512000,1.9333668937730706,2026-09-08T08:10:18.010767+00:00,2026-09-08T10:06:18.131555+00:00,final_delivery/training_stage_receipts/S09-DA-prefix.json,05ee0a24843c216abc9750b279d7f0919376524a2d8e2b5a320d44f12cea77cf,4000,3990,10,4000
58,S09,DA,suffix,PASS,4000,8000,7988,1024000,2.1375360559475505,2026-09-08T10:06:19.204657+00:00,2026-09-08T12:14:34.334435+00:00,final_delivery/training_stage_receipts/S09-DA-suffix.json,0bb835ba5c1a7903d27a2574ceb384b687c42e11f990e5cf4b5b0cd134af2ae3,4000,3998,2,8000
59,S10,CA,prefix,PASS,0,4000,3989,512000,1.8097515244021392,2026-09-08T08:21:35.793397+00:00,2026-09-08T10:10:10.898855+00:00,final_delivery/training_stage_receipts/S10-CA-prefix.json,525b8cd64761e839db0d144b490eb7d46bee52e1e26a1649bad5f1fe0937a940,4000,3989,11,4000
59,S10,CA,suffix,PASS,4000,8000,7988,1024000,2.0153087877057905,2026-09-08T10:10:12.169214+00:00,2026-09-08T12:11:07.280828+00:00,final_delivery/training_stage_receipts/S10-CA-suffix.json,dafde958277750e9c652166e582680577028603dad5ecd8448ba0ba612213bf4,4000,3999,1,8000
59,S10,DA,prefix,PASS,0,4000,3989,512000,1.8347514053796314,2026-09-08T04:30:40.607749+00:00,2026-09-08T06:20:45.712781+00:00,final_delivery/training_stage_receipts/S10-DA-prefix.json,0787a05744c1f4778de601cd93aa149138e1610b3cd18c442d0c5e3ad98cdfd1,4000,3989,11,4000
59,S10,DA,suffix,PASS,4000,8000,7987,1024000,2.0111446633277876,2026-09-08T06:20:47.277487+00:00,2026-09-08T08:21:27.398247+00:00,final_delivery/training_stage_receipts/S10-DA-suffix.json,e57ca7e4fb3bee688929f4ea61c9d3b53b00772e5737f8758989448a1084ac30,4000,3998,2,8000
60,S11,CA,prefix,PASS,0,4000,3989,512000,1.912529552299012,2026-09-08T04:30:40.614782+00:00,2026-09-08T06:25:25.721138+00:00,final_delivery/training_stage_receipts/S11-CA-prefix.json,f436506bbcb4fdfd3939d0cd4cc83b3c0c7eb01f2bd3e55bd64938c31b9fec51,4000,3989,11,4000
60,S11,CA,suffix,PASS,4000,8000,7987,1024000,2.0639244622902737,2026-09-08T06:25:27.313529+00:00,2026-09-08T08:29:17.441539+00:00,final_delivery/training_stage_receipts/S11-CA-suffix.json,712ea759c306c7667fe2c7e6b15e3081e65dad8a449df99274a91427b95b9eb5,4000,3998,2,8000
60,S11,DA,prefix,PASS,0,4000,3989,512000,1.897255502345765,2026-09-08T08:29:25.668790+00:00,2026-09-08T10:23:15.788553+00:00,final_delivery/training_stage_receipts/S11-DA-prefix.json,a4600fd72da4535d3cb1775fff8cdefc34326badd599afb16993bb64f0c9ed6a,4000,3989,11,4000
60,S11,DA,suffix,PASS,4000,8000,7987,1024000,2.108368960653639,2026-09-08T10:23:17.241954+00:00,2026-09-08T12:29:47.370177+00:00,final_delivery/training_stage_receipts/S11-DA-suffix.json,1c37e1488b1cf6fc6afd7b309ff5e39cc14c249d9253984d8ad5e440e25a42dd,4000,3998,2,8000
61,S12,CA,prefix,PASS,0,4000,3989,512000,1.812527152073259,2026-09-08T08:25:00.179672+00:00,2026-09-08T10:13:45.277383+00:00,final_delivery/training_stage_receipts/S12-CA-prefix.json,f3baf7b2759fbcd02d21b3d16233d531f909bb583ab7ee70e608918f57612502,4000,3989,11,4000
61,S12,CA,suffix,PASS,4000,8000,7987,1024000,2.0028110908189167,2026-09-08T10:13:46.449205+00:00,2026-09-08T12:13:56.569097+00:00,final_delivery/training_stage_receipts/S12-CA-suffix.json,b726008cfee1bb5f63981c95a14fee9d6a34b470982c2acd8ebf71b03271193c,4000,3998,2,8000
61,S12,DA,prefix,PASS,0,4000,3989,512000,1.8597506340867322,2026-09-08T04:30:40.614448+00:00,2026-09-08T06:22:15.716709+00:00,final_delivery/training_stage_receipts/S12-DA-prefix.json,95a70aaeeca9746d7b9653a9581fabf88ecacf48fb6416d64ebc66a5f9e32903,4000,3989,11,4000
61,S12,DA,suffix,PASS,4000,8000,7988,1024000,2.04308679314175,2026-09-08T06:22:17.300959+00:00,2026-09-08T08:24:52.413395+00:00,final_delivery/training_stage_receipts/S12-DA-suffix.json,c1619fbebd140f68441d1491e9acb4d12817e20468da98d3ad53f3c14ae0c540,4000,3999,1,8000
62,S13,CA,prefix,PASS,0,4000,3990,512000,1.8333613776151712,2026-09-08T04:31:48.713405+00:00,2026-09-08T06:21:48.814340+00:00,final_delivery/training_stage_receipts/S13-CA-prefix.json,cf148b2a922865daa9c2b885ec774b515a53eabe51d99afeb7932ad24a148019,4000,3990,10,4000
62,S13,CA,suffix,PASS,4000,8000,7988,1024000,2.0250314935633087,2026-09-08T06:21:50.344295+00:00,2026-09-08T08:23:20.457645+00:00,final_delivery/training_stage_receipts/S13-CA-suffix.json,88fd3d4f96a1991543fb44974bb810a862696b161fd1c85f36f8ee2f2da1cc81,4000,3998,2,8000
62,S13,DA,prefix,PASS,0,4000,3990,512000,1.8347499838838768,2026-09-08T08:23:28.018975+00:00,2026-09-08T10:13:33.118888+00:00,final_delivery/training_stage_receipts/S13-DA-prefix.json,356f99f9adcfc454da99d47d3ebbeb550ccf2c741ac3981f2a51c50193da4e09,4000,3990,10,4000
62,S13,DA,suffix,PASS,4000,8000,7987,1024000,2.1111431988095863,2026-09-08T10:13:34.193788+00:00,2026-09-08T12:20:14.309278+00:00,final_delivery/training_stage_receipts/S13-DA-suffix.json,59d8aacd27af1139c055c7e36264f792f041cb1aa2529042800b05f90cf728e5,4000,3997,3,8000
63,S14,CA,prefix,PASS,0,4000,3989,512000,1.8403060096771353,2026-09-08T08:24:12.539923+00:00,2026-09-08T10:14:37.641524+00:00,final_delivery/training_stage_receipts/S14-CA-prefix.json,325d17cc67fb8c8b4480a1528de2cfb65647d56d5293e220c1f76028fc87917f,4000,3989,11,4000
63,S14,CA,suffix,PASS,4000,8000,7987,1024000,2.038920702428764,2026-09-08T10:14:38.704536+00:00,2026-09-08T12:16:58.819044+00:00,final_delivery/training_stage_receipts/S14-CA-suffix.json,e56decfcaf3853fbcf43dcd93df61c6a1209eedca8ab5816a721f2a5c00576d4,4000,3998,2,8000
63,S14,DA,prefix,PASS,0,4000,3990,512000,1.8430836919441613,2026-09-08T04:31:48.220960+00:00,2026-09-08T06:22:23.322227+00:00,final_delivery/training_stage_receipts/S14-DA-prefix.json,fa221965b3de5d01ced883c4587c207faa0c0a6f220583b71a2daa9f041d6385,4000,3990,10,4000
63,S14,DA,suffix,PASS,4000,8000,7987,1024000,2.0278084398123126,2026-09-08T06:22:24.853835+00:00,2026-09-08T08:24:04.964198+00:00,final_delivery/training_stage_receipts/S14-DA-suffix.json,392622cdc456a0358b99a209d2686562d14c855deea5f88bc30f76054e6ed337,4000,3997,3,8000
64,S15,CA,prefix,PASS,0,4000,3989,512000,1.8875287633161577,2026-09-08T04:31:48.258670+00:00,2026-09-08T06:25:03.362189+00:00,final_delivery/training_stage_receipts/S15-CA-prefix.json,58461900a18221aeff32c432ffe554f68ea1a3052758da56d07d8b65e378761d,4000,3989,11,4000
64,S15,CA,suffix,PASS,4000,8000,7987,1024000,2.086145409934947,2026-09-08T06:25:05.142365+00:00,2026-09-08T08:30:15.265816+00:00,final_delivery/training_stage_receipts/S15-CA-suffix.json,5f328b906e9426a2677fcd64e56963452ce849662d4107e3da77b5d605df1424,4000,3998,2,8000
64,S15,DA,prefix,PASS,0,4000,3990,512000,1.8333606887676028,2026-09-08T08:30:23.096372+00:00,2026-09-08T10:20:23.194822+00:00,final_delivery/training_stage_receipts/S15-DA-prefix.json,947991434f0722a38fbd4b8d0ef4ec1e153cfc002e4b4bcb35c2e04f3b475ec2,4000,3990,10,4000
64,S15,DA,suffix,PASS,4000,8000,7988,1024000,2.027808814262971,2026-09-08T10:20:24.357492+00:00,2026-09-08T12:22:04.469195+00:00,final_delivery/training_stage_receipts/S15-DA-suffix.json,5bd74acf874ad3a41aef4cac0c9ee7d0ca7e6886c6cc091312b59f46976462d1,4000,3998,2,8000
65,S16,CA,prefix,PASS,0,4000,3989,512000,2.5000676226471032,2026-09-08T09:43:52.508796+00:00,2026-09-08T12:13:52.752178+00:00,final_delivery/training_stage_receipts/S16-CA-prefix.json,524d5d370da3c02d31a74c75f2797fd3ff019abf1a54a82fdd1c5906446bad7d,4000,3989,11,4000
65,S16,CA,suffix,PASS,4000,8000,7987,1024000,2.782015179324792,2026-09-08T12:13:58.424707+00:00,2026-09-08T15:00:53.679279+00:00,final_delivery/training_stage_receipts/S16-CA-suffix.json,7689083f123292a0e980cbacc8add87980923830887bda1f49f6f6fc9a3dce8f,4000,3998,2,8000
65,S16,DA,prefix,PASS,0,4000,3989,512000,2.576448455483963,2026-09-08T04:22:28.309546+00:00,2026-09-08T06:57:03.523905+00:00,final_delivery/training_stage_receipts/S16-DA-prefix.json,0114929526bd5b812b9bb37c1c556b9a06a05376e526f93f7474c6d6ebf98f25,4000,3989,11,4000
65,S16,DA,suffix,PASS,4000,8000,7987,1024000,2.7750618742711635,2026-09-08T06:57:10.514844+00:00,2026-09-08T09:43:40.737529+00:00,final_delivery/training_stage_receipts/S16-DA-suffix.json,96b6321f6c2779cbeeafbfbfec4c1a1c147eca03ada3f32472829968f3837090,4000,3998,2,8000
