seed,arm,block,late_horizons,late_median_raw_propagation_gain_G,late_raw_propagation_gain_G_min,late_raw_propagation_gain_G_max,late_median_corrected_R_over_delta_k,late_corrected_R_over_delta_k_min,late_corrected_R_over_delta_k_max,late_median_cos_corrected_R_delta_k,corrected_alignment_sign_h256,corrected_alignment_sign_h500,late_corrected_direction_stable,late_corrected_R_norm_min,late_closure_all_pass,carryover_rule,raw_propagation_label,legacy_pr89_raw_label,corrected_feedback_numerically_nonzero,claim_ceiling
3,D,theta,256;500,1.0017774574089882,1.0010655952187446,1.0024893195992317,0.014251912814450603,0.012082494047224819,0.01642133158167639,0.1128838384896596,positive,positive,True,0.0926043498591274,True,identity_parameter_carryover,history_dominated_persistent_propagation,persistent_state_feedback_dominance,True,presence only; not corrected-feedback dominance or amplification
3,D,v,256;500,0.9992506123016509,0.9991187369901434,0.9993824876131583,0.0003508260718768363,0.00016066172738640565,0.0005409904163672669,0.7228999321398916,positive,positive,True,0.8052818089726372,True,radam_beta2_per_parameter_group,history_dominated_persistent_propagation,persistent_state_feedback_dominance,True,presence only; not corrected-feedback dominance or amplification
4,B,EMA,256;500,1.0049194050833596,1.0032505334158157,1.0065882767509036,0.006680469415175404,0.004667033509283827,0.008693905321066982,0.841420345862218,positive,positive,True,0.0031422955704845617,True,ema_transition_carryover_counterfactual_map,history_dominated_persistent_propagation,persistent_state_feedback_dominance,True,presence only; not corrected-feedback dominance or amplification
4,B,m,256;500,0.9031440705635212,0.8981231626209124,0.9081649785061299,0.04142560352499891,0.03778136860367911,0.04506983844631872,0.0647323693222351,negative,positive,False,9.718752403140634,True,radam_beta1_per_parameter_group,history_dominated_persistent_propagation,persistent_state_feedback_dominance,True,presence only; not corrected-feedback dominance or amplification
4,B,theta,256;500,1.002081014778505,1.001579097590543,1.0025829319664674,0.013718969790783277,0.011302040712717941,0.016135898868848614,0.14319481258028768,positive,positive,True,0.07217434566431029,True,identity_parameter_carryover,history_dominated_persistent_propagation,persistent_state_feedback_dominance,True,presence only; not corrected-feedback dominance or amplification
4,B,v,256;500,0.9990932832631871,0.9990407845456192,0.9991457819807552,0.0001855942417264294,0.0001629184768645563,0.0002082700065883025,0.47503330494181917,positive,positive,True,0.5523721745838613,True,radam_beta2_per_parameter_group,history_dominated_persistent_propagation,persistent_state_feedback_dominance,True,presence only; not corrected-feedback dominance or amplification
4,C,EMA,256;500,1.0050781992761786,1.003130271988749,1.0070261265636082,0.006817378265028229,0.004395578319980835,0.009239178210075624,0.8528534084100827,positive,positive,True,0.0041000444887273925,True,ema_transition_carryover_counterfactual_map,history_dominated_persistent_propagation,persistent_state_feedback_dominance,True,presence only; not corrected-feedback dominance or amplification
4,C,m,256;500,0.9004142577413269,0.8916306439239678,0.9091978715586859,0.07481392382584276,0.05287898116333414,0.09674886648835138,0.0028005485361247834,positive,negative,False,12.513212977182231,True,radam_beta1_per_parameter_group,history_dominated_persistent_propagation,persistent_state_feedback_dominance,True,presence only; not corrected-feedback dominance or amplification
4,C,theta,256;500,1.001625107094053,1.001140496906859,1.002109717281247,0.012211043893391739,0.01014408493219889,0.014278002854584587,0.12409932643729207,positive,positive,True,0.08340398906881072,True,identity_parameter_carryover,history_dominated_persistent_propagation,persistent_state_feedback_dominance,True,presence only; not corrected-feedback dominance or amplification
4,C,v,256;500,0.9983556588372053,0.9980007417020527,0.9987105759723579,0.0035393806807478066,0.0010010147035106037,0.0060777466579850095,-0.22848777118910132,negative,negative,True,1.5084950733423714,True,radam_beta2_per_parameter_group,history_dominated_persistent_propagation,persistent_state_feedback_dominance,True,presence only; not corrected-feedback dominance or amplification
4,D,EMA,256;500,1.0051777404636102,1.0032868219947095,1.0070686589325109,0.006987142430439113,0.004662211117760864,0.009312073743117362,0.8436738242023136,positive,positive,True,0.0034608992005699586,True,ema_transition_carryover_counterfactual_map,history_dominated_persistent_propagation,persistent_state_feedback_dominance,True,presence only; not corrected-feedback dominance or amplification
4,D,m,256;500,0.8943508047152562,0.8812340241883639,0.9074675852421484,0.05268782266967455,0.050713977022553196,0.054661668316795906,-0.12520671653462445,negative,positive,False,13.232584307069677,True,radam_beta1_per_parameter_group,history_dominated_persistent_propagation,persistent_state_feedback_dominance,True,presence only; not corrected-feedback dominance or amplification
4,D,theta,256;500,1.0019824933663108,1.001400871827068,1.002564114905554,0.013690500112297666,0.011387641016960685,0.015993359207634648,0.13497089611854673,positive,positive,True,0.0788057315868409,True,identity_parameter_carryover,history_dominated_persistent_propagation,persistent_state_feedback_dominance,True,presence only; not corrected-feedback dominance or amplification
4,D,v,256;500,0.9990166042563997,0.9989003970270312,0.9991328114857684,0.00037672580061946955,0.0002497290907408074,0.0005037225104981317,0.16685170655016618,negative,positive,False,1.4496865586512198,True,radam_beta2_per_parameter_group,history_dominated_persistent_propagation,persistent_state_feedback_dominance,True,presence only; not corrected-feedback dominance or amplification
5,B,EMA,256;500,1.0049939857322217,1.003234409104202,1.0067535623602413,0.006790119200456517,0.0046298862834743305,0.008950352117438703,0.840267733003724,positive,positive,True,0.0031858715820305733,True,ema_transition_carryover_counterfactual_map,history_dominated_persistent_propagation,persistent_state_feedback_dominance,True,presence only; not corrected-feedback dominance or amplification
5,B,m,256;500,0.8975178125037963,0.8923356754115529,0.9026999495960396,0.027713015918247798,0.019784714902771793,0.0356413169337238,-0.0541220486627301,positive,negative,False,7.9325387939815615,True,radam_beta1_per_parameter_group,history_dominated_persistent_propagation,persistent_state_feedback_dominance,True,presence only; not corrected-feedback dominance or amplification
5,B,theta,256;500,1.002193254286314,1.0012166647701477,1.0031698438024799,0.01694992904551689,0.01179722707946845,0.022102631011565333,0.11494315110113296,positive,positive,True,0.0857087348421296,True,identity_parameter_carryover,history_dominated_persistent_propagation,persistent_state_feedback_dominance,True,presence only; not corrected-feedback dominance or amplification
5,B,v,256;500,0.9990432763818228,0.9990273294450386,0.999059223318607,0.00013805506008106642,0.00012999562263671724,0.0001461144975254156,0.3211571660493089,positive,positive,True,0.6801478545069766,True,radam_beta2_per_parameter_group,history_dominated_persistent_propagation,persistent_state_feedback_dominance,True,presence only; not corrected-feedback dominance or amplification
5,C,EMA,256;500,1.0048327984140943,1.0032716349570456,1.0063939618711433,0.00652343926319507,0.004700819646052609,0.00834605888033753,0.8465128599844989,positive,positive,True,0.0029822894365275727,True,ema_transition_carryover_counterfactual_map,history_dominated_persistent_propagation,persistent_state_feedback_dominance,True,presence only; not corrected-feedback dominance or amplification
5,C,m,256;500,0.899976083345714,0.8962304746561927,0.9037216920352353,0.03346603080116796,0.02824982598412835,0.038682235618207564,-0.0012064380644263017,positive,negative,False,6.368507060629902,True,radam_beta1_per_parameter_group,history_dominated_persistent_propagation,persistent_state_feedback_dominance,True,presence only; not corrected-feedback dominance or amplification
5,C,theta,256;500,1.0020476370580995,1.0013855512784724,1.0027097228377266,0.01574917450863777,0.01275248053114895,0.01874586848612659,0.11886094712255042,positive,positive,True,0.07955913085434312,True,identity_parameter_carryover,history_dominated_persistent_propagation,persistent_state_feedback_dominance,True,presence only; not corrected-feedback dominance or amplification
5,C,v,256;500,0.9990685499982748,0.9990194290345246,0.999117670962025,0.000557155528257815,0.0004742883918664504,0.0006400226646491797,0.11212055924019106,positive,positive,True,0.6050428787348001,True,radam_beta2_per_parameter_group,history_dominated_persistent_propagation,persistent_state_feedback_dominance,True,presence only; not corrected-feedback dominance or amplification
5,D,EMA,256;500,1.0047397622321685,1.0030121006284332,1.006467423835904,0.006318589513290474,0.004373900949182185,0.008263278077398762,0.8572194175507974,positive,positive,True,0.003715840166295903,True,ema_transition_carryover_counterfactual_map,history_dominated_persistent_propagation,persistent_state_feedback_dominance,True,presence only; not corrected-feedback dominance or amplification
5,D,m,256;500,0.903107838670921,0.898663675815892,0.9075520015259502,0.048000338915659496,0.04749572221172372,0.04850495561959528,0.03940422053368553,positive,negative,False,11.814317304255194,True,radam_beta1_per_parameter_group,history_dominated_persistent_propagation,persistent_state_feedback_dominance,True,presence only; not corrected-feedback dominance or amplification
5,D,theta,256;500,1.0019034802314666,1.0015004737734812,1.0023064866894518,0.014549301415313035,0.012464931327851566,0.016633671502774505,0.12237012600802863,positive,positive,True,0.08803023585992353,True,identity_parameter_carryover,history_dominated_persistent_propagation,persistent_state_feedback_dominance,True,presence only; not corrected-feedback dominance or amplification
5,D,v,256;500,0.9990126187042812,0.9989438108125843,0.999081426595978,0.00016517413004862755,0.0001389477525145677,0.00019140050758268743,0.1460545811924616,negative,positive,False,0.8772929225145358,True,radam_beta2_per_parameter_group,history_dominated_persistent_propagation,persistent_state_feedback_dominance,True,presence only; not corrected-feedback dominance or amplification
