job_index,seed,branch,origin_arm,continuation_arm,budget_kimg,nfe,mid_t,checkpoint_path,checkpoint_sha256,dataset_path,dataset_sha256,sample_count,sample_seed_start,sample_seed_end,metric_seed,metrics_in_order,precision,evaluator_commit,protocol_sha256,status
10,3,B_to_A,B,A,768,1,,/root/q256_switch_seed3_7_v3_formal_20260830_v1/seed3/B_to_A/kimg0768/network-snapshot.pkl,c2fb04a35f6c99651301456c85bf51f3781c4391a9b546f8896dd95c82b31b73,/root/q256_schedule_switch_assets/cifar10-32x32-canonical-08c9ed1b2b1c.zip,08c9ed1b2b1c523268dc0f05a0569dd654209aea46197e3f56ec149dd714f372,50000,0,49999,20260730,"kid50k_full,fid50k_full",fp32,d6aba02fb88e9db0993623895eb2228ed717d810,195ca2843791c0ea28ac5a87f3c9e0fb24a4fb8c9214b665331dbbd92648b32d,FROZEN_NOT_RUN
11,3,B_to_A,B,A,768,2,0.821,/root/q256_switch_seed3_7_v3_formal_20260830_v1/seed3/B_to_A/kimg0768/network-snapshot.pkl,c2fb04a35f6c99651301456c85bf51f3781c4391a9b546f8896dd95c82b31b73,/root/q256_schedule_switch_assets/cifar10-32x32-canonical-08c9ed1b2b1c.zip,08c9ed1b2b1c523268dc0f05a0569dd654209aea46197e3f56ec149dd714f372,50000,0,49999,20260730,"kid50k_full,fid50k_full",fp32,d6aba02fb88e9db0993623895eb2228ed717d810,195ca2843791c0ea28ac5a87f3c9e0fb24a4fb8c9214b665331dbbd92648b32d,FROZEN_NOT_RUN
12,3,B_to_A,B,A,896,1,,/root/q256_switch_seed3_7_v3_formal_20260830_v1/seed3/B_to_A/kimg0896/network-snapshot.pkl,76146122be3a4b8e889884bbe772e39161a37a64928691588592c5e9fc29c2c5,/root/q256_schedule_switch_assets/cifar10-32x32-canonical-08c9ed1b2b1c.zip,08c9ed1b2b1c523268dc0f05a0569dd654209aea46197e3f56ec149dd714f372,50000,0,49999,20260730,"kid50k_full,fid50k_full",fp32,d6aba02fb88e9db0993623895eb2228ed717d810,195ca2843791c0ea28ac5a87f3c9e0fb24a4fb8c9214b665331dbbd92648b32d,FROZEN_NOT_RUN
13,3,B_to_A,B,A,896,2,0.821,/root/q256_switch_seed3_7_v3_formal_20260830_v1/seed3/B_to_A/kimg0896/network-snapshot.pkl,76146122be3a4b8e889884bbe772e39161a37a64928691588592c5e9fc29c2c5,/root/q256_schedule_switch_assets/cifar10-32x32-canonical-08c9ed1b2b1c.zip,08c9ed1b2b1c523268dc0f05a0569dd654209aea46197e3f56ec149dd714f372,50000,0,49999,20260730,"kid50k_full,fid50k_full",fp32,d6aba02fb88e9db0993623895eb2228ed717d810,195ca2843791c0ea28ac5a87f3c9e0fb24a4fb8c9214b665331dbbd92648b32d,FROZEN_NOT_RUN
14,3,B_to_A,B,A,1024,1,,/root/q256_switch_seed3_7_v3_formal_20260830_v1/seed3/B_to_A/kimg1024/network-snapshot.pkl,e0f8a365f3e9aedd0547e3e2dc777869286f0e61599da28da913020eb436f6d5,/root/q256_schedule_switch_assets/cifar10-32x32-canonical-08c9ed1b2b1c.zip,08c9ed1b2b1c523268dc0f05a0569dd654209aea46197e3f56ec149dd714f372,50000,0,49999,20260730,"kid50k_full,fid50k_full",fp32,d6aba02fb88e9db0993623895eb2228ed717d810,195ca2843791c0ea28ac5a87f3c9e0fb24a4fb8c9214b665331dbbd92648b32d,FROZEN_NOT_RUN
15,3,B_to_A,B,A,1024,2,0.821,/root/q256_switch_seed3_7_v3_formal_20260830_v1/seed3/B_to_A/kimg1024/network-snapshot.pkl,e0f8a365f3e9aedd0547e3e2dc777869286f0e61599da28da913020eb436f6d5,/root/q256_schedule_switch_assets/cifar10-32x32-canonical-08c9ed1b2b1c.zip,08c9ed1b2b1c523268dc0f05a0569dd654209aea46197e3f56ec149dd714f372,50000,0,49999,20260730,"kid50k_full,fid50k_full",fp32,d6aba02fb88e9db0993623895eb2228ed717d810,195ca2843791c0ea28ac5a87f3c9e0fb24a4fb8c9214b665331dbbd92648b32d,FROZEN_NOT_RUN
16,4,A_to_B,A,B,640,1,,/root/q256_switch_seed3_7_v3_formal_20260830_v1/seed4/A_to_B/kimg0640/network-snapshot.pkl,e76f35836455e3566c1862c6d72c4364ffeaba13184db216f67604ef077bc160,/root/q256_schedule_switch_assets/cifar10-32x32-canonical-08c9ed1b2b1c.zip,08c9ed1b2b1c523268dc0f05a0569dd654209aea46197e3f56ec149dd714f372,50000,0,49999,20260730,"kid50k_full,fid50k_full",fp32,d6aba02fb88e9db0993623895eb2228ed717d810,195ca2843791c0ea28ac5a87f3c9e0fb24a4fb8c9214b665331dbbd92648b32d,FROZEN_NOT_RUN
17,4,A_to_B,A,B,640,2,0.821,/root/q256_switch_seed3_7_v3_formal_20260830_v1/seed4/A_to_B/kimg0640/network-snapshot.pkl,e76f35836455e3566c1862c6d72c4364ffeaba13184db216f67604ef077bc160,/root/q256_schedule_switch_assets/cifar10-32x32-canonical-08c9ed1b2b1c.zip,08c9ed1b2b1c523268dc0f05a0569dd654209aea46197e3f56ec149dd714f372,50000,0,49999,20260730,"kid50k_full,fid50k_full",fp32,d6aba02fb88e9db0993623895eb2228ed717d810,195ca2843791c0ea28ac5a87f3c9e0fb24a4fb8c9214b665331dbbd92648b32d,FROZEN_NOT_RUN
18,4,A_to_B,A,B,768,1,,/root/q256_switch_seed3_7_v3_formal_20260830_v1/seed4/A_to_B/kimg0768/network-snapshot.pkl,c9f00a3f3ebd690643ea404ca857b2c9a07dc6b393756c92971c4a519a02d3c5,/root/q256_schedule_switch_assets/cifar10-32x32-canonical-08c9ed1b2b1c.zip,08c9ed1b2b1c523268dc0f05a0569dd654209aea46197e3f56ec149dd714f372,50000,0,49999,20260730,"kid50k_full,fid50k_full",fp32,d6aba02fb88e9db0993623895eb2228ed717d810,195ca2843791c0ea28ac5a87f3c9e0fb24a4fb8c9214b665331dbbd92648b32d,FROZEN_NOT_RUN
19,4,A_to_B,A,B,768,2,0.821,/root/q256_switch_seed3_7_v3_formal_20260830_v1/seed4/A_to_B/kimg0768/network-snapshot.pkl,c9f00a3f3ebd690643ea404ca857b2c9a07dc6b393756c92971c4a519a02d3c5,/root/q256_schedule_switch_assets/cifar10-32x32-canonical-08c9ed1b2b1c.zip,08c9ed1b2b1c523268dc0f05a0569dd654209aea46197e3f56ec149dd714f372,50000,0,49999,20260730,"kid50k_full,fid50k_full",fp32,d6aba02fb88e9db0993623895eb2228ed717d810,195ca2843791c0ea28ac5a87f3c9e0fb24a4fb8c9214b665331dbbd92648b32d,FROZEN_NOT_RUN
20,4,A_to_B,A,B,896,1,,/root/q256_switch_seed3_7_v3_formal_20260830_v1/seed4/A_to_B/kimg0896/network-snapshot.pkl,402d74fc842c5a7f5aebe844d4118027c11b06700430f8095412df6c671f9958,/root/q256_schedule_switch_assets/cifar10-32x32-canonical-08c9ed1b2b1c.zip,08c9ed1b2b1c523268dc0f05a0569dd654209aea46197e3f56ec149dd714f372,50000,0,49999,20260730,"kid50k_full,fid50k_full",fp32,d6aba02fb88e9db0993623895eb2228ed717d810,195ca2843791c0ea28ac5a87f3c9e0fb24a4fb8c9214b665331dbbd92648b32d,FROZEN_NOT_RUN
21,4,A_to_B,A,B,896,2,0.821,/root/q256_switch_seed3_7_v3_formal_20260830_v1/seed4/A_to_B/kimg0896/network-snapshot.pkl,402d74fc842c5a7f5aebe844d4118027c11b06700430f8095412df6c671f9958,/root/q256_schedule_switch_assets/cifar10-32x32-canonical-08c9ed1b2b1c.zip,08c9ed1b2b1c523268dc0f05a0569dd654209aea46197e3f56ec149dd714f372,50000,0,49999,20260730,"kid50k_full,fid50k_full",fp32,d6aba02fb88e9db0993623895eb2228ed717d810,195ca2843791c0ea28ac5a87f3c9e0fb24a4fb8c9214b665331dbbd92648b32d,FROZEN_NOT_RUN
22,4,A_to_B,A,B,1024,1,,/root/q256_switch_seed3_7_v3_formal_20260830_v1/seed4/A_to_B/kimg1024/network-snapshot.pkl,c7dbe00f9b32af42963657d05203771429c417a9289171174c920e9737711472,/root/q256_schedule_switch_assets/cifar10-32x32-canonical-08c9ed1b2b1c.zip,08c9ed1b2b1c523268dc0f05a0569dd654209aea46197e3f56ec149dd714f372,50000,0,49999,20260730,"kid50k_full,fid50k_full",fp32,d6aba02fb88e9db0993623895eb2228ed717d810,195ca2843791c0ea28ac5a87f3c9e0fb24a4fb8c9214b665331dbbd92648b32d,FROZEN_NOT_RUN
23,4,A_to_B,A,B,1024,2,0.821,/root/q256_switch_seed3_7_v3_formal_20260830_v1/seed4/A_to_B/kimg1024/network-snapshot.pkl,c7dbe00f9b32af42963657d05203771429c417a9289171174c920e9737711472,/root/q256_schedule_switch_assets/cifar10-32x32-canonical-08c9ed1b2b1c.zip,08c9ed1b2b1c523268dc0f05a0569dd654209aea46197e3f56ec149dd714f372,50000,0,49999,20260730,"kid50k_full,fid50k_full",fp32,d6aba02fb88e9db0993623895eb2228ed717d810,195ca2843791c0ea28ac5a87f3c9e0fb24a4fb8c9214b665331dbbd92648b32d,FROZEN_NOT_RUN
24,4,B_to_A,B,A,640,1,,/root/q256_switch_seed3_7_v3_formal_20260830_v1/seed4/B_to_A/kimg0640/network-snapshot.pkl,77740add92f22b2246e673c9cee38cb75db31ffd77a62bc4865a08354fa259b1,/root/q256_schedule_switch_assets/cifar10-32x32-canonical-08c9ed1b2b1c.zip,08c9ed1b2b1c523268dc0f05a0569dd654209aea46197e3f56ec149dd714f372,50000,0,49999,20260730,"kid50k_full,fid50k_full",fp32,d6aba02fb88e9db0993623895eb2228ed717d810,195ca2843791c0ea28ac5a87f3c9e0fb24a4fb8c9214b665331dbbd92648b32d,FROZEN_NOT_RUN
25,4,B_to_A,B,A,640,2,0.821,/root/q256_switch_seed3_7_v3_formal_20260830_v1/seed4/B_to_A/kimg0640/network-snapshot.pkl,77740add92f22b2246e673c9cee38cb75db31ffd77a62bc4865a08354fa259b1,/root/q256_schedule_switch_assets/cifar10-32x32-canonical-08c9ed1b2b1c.zip,08c9ed1b2b1c523268dc0f05a0569dd654209aea46197e3f56ec149dd714f372,50000,0,49999,20260730,"kid50k_full,fid50k_full",fp32,d6aba02fb88e9db0993623895eb2228ed717d810,195ca2843791c0ea28ac5a87f3c9e0fb24a4fb8c9214b665331dbbd92648b32d,FROZEN_NOT_RUN
26,4,B_to_A,B,A,768,1,,/root/q256_switch_seed3_7_v3_formal_20260830_v1/seed4/B_to_A/kimg0768/network-snapshot.pkl,bb3086f9ef46a728968a38080f03e871e79a9ccdb4f43455f0fab21bbcf6a664,/root/q256_schedule_switch_assets/cifar10-32x32-canonical-08c9ed1b2b1c.zip,08c9ed1b2b1c523268dc0f05a0569dd654209aea46197e3f56ec149dd714f372,50000,0,49999,20260730,"kid50k_full,fid50k_full",fp32,d6aba02fb88e9db0993623895eb2228ed717d810,195ca2843791c0ea28ac5a87f3c9e0fb24a4fb8c9214b665331dbbd92648b32d,FROZEN_NOT_RUN
27,4,B_to_A,B,A,768,2,0.821,/root/q256_switch_seed3_7_v3_formal_20260830_v1/seed4/B_to_A/kimg0768/network-snapshot.pkl,bb3086f9ef46a728968a38080f03e871e79a9ccdb4f43455f0fab21bbcf6a664,/root/q256_schedule_switch_assets/cifar10-32x32-canonical-08c9ed1b2b1c.zip,08c9ed1b2b1c523268dc0f05a0569dd654209aea46197e3f56ec149dd714f372,50000,0,49999,20260730,"kid50k_full,fid50k_full",fp32,d6aba02fb88e9db0993623895eb2228ed717d810,195ca2843791c0ea28ac5a87f3c9e0fb24a4fb8c9214b665331dbbd92648b32d,FROZEN_NOT_RUN
28,4,B_to_A,B,A,896,1,,/root/q256_switch_seed3_7_v3_formal_20260830_v1/seed4/B_to_A/kimg0896/network-snapshot.pkl,adf100b365945391583c3770bfc25635de632f7573f48dcd7d57456a9c26dadc,/root/q256_schedule_switch_assets/cifar10-32x32-canonical-08c9ed1b2b1c.zip,08c9ed1b2b1c523268dc0f05a0569dd654209aea46197e3f56ec149dd714f372,50000,0,49999,20260730,"kid50k_full,fid50k_full",fp32,d6aba02fb88e9db0993623895eb2228ed717d810,195ca2843791c0ea28ac5a87f3c9e0fb24a4fb8c9214b665331dbbd92648b32d,FROZEN_NOT_RUN
29,4,B_to_A,B,A,896,2,0.821,/root/q256_switch_seed3_7_v3_formal_20260830_v1/seed4/B_to_A/kimg0896/network-snapshot.pkl,adf100b365945391583c3770bfc25635de632f7573f48dcd7d57456a9c26dadc,/root/q256_schedule_switch_assets/cifar10-32x32-canonical-08c9ed1b2b1c.zip,08c9ed1b2b1c523268dc0f05a0569dd654209aea46197e3f56ec149dd714f372,50000,0,49999,20260730,"kid50k_full,fid50k_full",fp32,d6aba02fb88e9db0993623895eb2228ed717d810,195ca2843791c0ea28ac5a87f3c9e0fb24a4fb8c9214b665331dbbd92648b32d,FROZEN_NOT_RUN
30,4,B_to_A,B,A,1024,1,,/root/q256_switch_seed3_7_v3_formal_20260830_v1/seed4/B_to_A/kimg1024/network-snapshot.pkl,126a408c5cac08bddc528d7e7b167fab7434619554fa8d01f85025fdd04ecaa7,/root/q256_schedule_switch_assets/cifar10-32x32-canonical-08c9ed1b2b1c.zip,08c9ed1b2b1c523268dc0f05a0569dd654209aea46197e3f56ec149dd714f372,50000,0,49999,20260730,"kid50k_full,fid50k_full",fp32,d6aba02fb88e9db0993623895eb2228ed717d810,195ca2843791c0ea28ac5a87f3c9e0fb24a4fb8c9214b665331dbbd92648b32d,FROZEN_NOT_RUN
31,4,B_to_A,B,A,1024,2,0.821,/root/q256_switch_seed3_7_v3_formal_20260830_v1/seed4/B_to_A/kimg1024/network-snapshot.pkl,126a408c5cac08bddc528d7e7b167fab7434619554fa8d01f85025fdd04ecaa7,/root/q256_schedule_switch_assets/cifar10-32x32-canonical-08c9ed1b2b1c.zip,08c9ed1b2b1c523268dc0f05a0569dd654209aea46197e3f56ec149dd714f372,50000,0,49999,20260730,"kid50k_full,fid50k_full",fp32,d6aba02fb88e9db0993623895eb2228ed717d810,195ca2843791c0ea28ac5a87f3c9e0fb24a4fb8c9214b665331dbbd92648b32d,FROZEN_NOT_RUN
32,5,A_to_B,A,B,640,1,,/root/q256_switch_seed3_7_v3_formal_20260830_v1/seed5/A_to_B/kimg0640/network-snapshot.pkl,d0b5350484750bfb7658b909d0d47830045ba6e4c0886c392b3de4876f5b7a2b,/root/q256_schedule_switch_assets/cifar10-32x32-canonical-08c9ed1b2b1c.zip,08c9ed1b2b1c523268dc0f05a0569dd654209aea46197e3f56ec149dd714f372,50000,0,49999,20260730,"kid50k_full,fid50k_full",fp32,d6aba02fb88e9db0993623895eb2228ed717d810,195ca2843791c0ea28ac5a87f3c9e0fb24a4fb8c9214b665331dbbd92648b32d,FROZEN_NOT_RUN
33,5,A_to_B,A,B,640,2,0.821,/root/q256_switch_seed3_7_v3_formal_20260830_v1/seed5/A_to_B/kimg0640/network-snapshot.pkl,d0b5350484750bfb7658b909d0d47830045ba6e4c0886c392b3de4876f5b7a2b,/root/q256_schedule_switch_assets/cifar10-32x32-canonical-08c9ed1b2b1c.zip,08c9ed1b2b1c523268dc0f05a0569dd654209aea46197e3f56ec149dd714f372,50000,0,49999,20260730,"kid50k_full,fid50k_full",fp32,d6aba02fb88e9db0993623895eb2228ed717d810,195ca2843791c0ea28ac5a87f3c9e0fb24a4fb8c9214b665331dbbd92648b32d,FROZEN_NOT_RUN
34,5,A_to_B,A,B,768,1,,/root/q256_switch_seed3_7_v3_formal_20260830_v1/seed5/A_to_B/kimg0768/network-snapshot.pkl,65e28247d9a4475de643137b6663f5711fc5edb304b81cd36ad2e28b2d1e2365,/root/q256_schedule_switch_assets/cifar10-32x32-canonical-08c9ed1b2b1c.zip,08c9ed1b2b1c523268dc0f05a0569dd654209aea46197e3f56ec149dd714f372,50000,0,49999,20260730,"kid50k_full,fid50k_full",fp32,d6aba02fb88e9db0993623895eb2228ed717d810,195ca2843791c0ea28ac5a87f3c9e0fb24a4fb8c9214b665331dbbd92648b32d,FROZEN_NOT_RUN
35,5,A_to_B,A,B,768,2,0.821,/root/q256_switch_seed3_7_v3_formal_20260830_v1/seed5/A_to_B/kimg0768/network-snapshot.pkl,65e28247d9a4475de643137b6663f5711fc5edb304b81cd36ad2e28b2d1e2365,/root/q256_schedule_switch_assets/cifar10-32x32-canonical-08c9ed1b2b1c.zip,08c9ed1b2b1c523268dc0f05a0569dd654209aea46197e3f56ec149dd714f372,50000,0,49999,20260730,"kid50k_full,fid50k_full",fp32,d6aba02fb88e9db0993623895eb2228ed717d810,195ca2843791c0ea28ac5a87f3c9e0fb24a4fb8c9214b665331dbbd92648b32d,FROZEN_NOT_RUN
36,5,A_to_B,A,B,896,1,,/root/q256_switch_seed3_7_v3_formal_20260830_v1/seed5/A_to_B/kimg0896/network-snapshot.pkl,f4d30fcdc16d2eb664941b77ed0e741399bb1466d3f1e70832c34716ae2095fb,/root/q256_schedule_switch_assets/cifar10-32x32-canonical-08c9ed1b2b1c.zip,08c9ed1b2b1c523268dc0f05a0569dd654209aea46197e3f56ec149dd714f372,50000,0,49999,20260730,"kid50k_full,fid50k_full",fp32,d6aba02fb88e9db0993623895eb2228ed717d810,195ca2843791c0ea28ac5a87f3c9e0fb24a4fb8c9214b665331dbbd92648b32d,FROZEN_NOT_RUN
37,5,A_to_B,A,B,896,2,0.821,/root/q256_switch_seed3_7_v3_formal_20260830_v1/seed5/A_to_B/kimg0896/network-snapshot.pkl,f4d30fcdc16d2eb664941b77ed0e741399bb1466d3f1e70832c34716ae2095fb,/root/q256_schedule_switch_assets/cifar10-32x32-canonical-08c9ed1b2b1c.zip,08c9ed1b2b1c523268dc0f05a0569dd654209aea46197e3f56ec149dd714f372,50000,0,49999,20260730,"kid50k_full,fid50k_full",fp32,d6aba02fb88e9db0993623895eb2228ed717d810,195ca2843791c0ea28ac5a87f3c9e0fb24a4fb8c9214b665331dbbd92648b32d,FROZEN_NOT_RUN
38,5,A_to_B,A,B,1024,1,,/root/q256_switch_seed3_7_v3_formal_20260830_v1/seed5/A_to_B/kimg1024/network-snapshot.pkl,4704b6171dc8b74e9c23dcc16e21db4f59dc4bba5e90d6ff4f1ffe1218e6a252,/root/q256_schedule_switch_assets/cifar10-32x32-canonical-08c9ed1b2b1c.zip,08c9ed1b2b1c523268dc0f05a0569dd654209aea46197e3f56ec149dd714f372,50000,0,49999,20260730,"kid50k_full,fid50k_full",fp32,d6aba02fb88e9db0993623895eb2228ed717d810,195ca2843791c0ea28ac5a87f3c9e0fb24a4fb8c9214b665331dbbd92648b32d,FROZEN_NOT_RUN
39,5,A_to_B,A,B,1024,2,0.821,/root/q256_switch_seed3_7_v3_formal_20260830_v1/seed5/A_to_B/kimg1024/network-snapshot.pkl,4704b6171dc8b74e9c23dcc16e21db4f59dc4bba5e90d6ff4f1ffe1218e6a252,/root/q256_schedule_switch_assets/cifar10-32x32-canonical-08c9ed1b2b1c.zip,08c9ed1b2b1c523268dc0f05a0569dd654209aea46197e3f56ec149dd714f372,50000,0,49999,20260730,"kid50k_full,fid50k_full",fp32,d6aba02fb88e9db0993623895eb2228ed717d810,195ca2843791c0ea28ac5a87f3c9e0fb24a4fb8c9214b665331dbbd92648b32d,FROZEN_NOT_RUN
40,5,B_to_A,B,A,640,1,,/root/q256_switch_seed3_7_v3_formal_20260830_v1/seed5/B_to_A/kimg0640/network-snapshot.pkl,93dccc8fa6a19da5ce42298432a2586e4c40aa069b3c3dda936120817f65445e,/root/q256_schedule_switch_assets/cifar10-32x32-canonical-08c9ed1b2b1c.zip,08c9ed1b2b1c523268dc0f05a0569dd654209aea46197e3f56ec149dd714f372,50000,0,49999,20260730,"kid50k_full,fid50k_full",fp32,d6aba02fb88e9db0993623895eb2228ed717d810,195ca2843791c0ea28ac5a87f3c9e0fb24a4fb8c9214b665331dbbd92648b32d,FROZEN_NOT_RUN
41,5,B_to_A,B,A,640,2,0.821,/root/q256_switch_seed3_7_v3_formal_20260830_v1/seed5/B_to_A/kimg0640/network-snapshot.pkl,93dccc8fa6a19da5ce42298432a2586e4c40aa069b3c3dda936120817f65445e,/root/q256_schedule_switch_assets/cifar10-32x32-canonical-08c9ed1b2b1c.zip,08c9ed1b2b1c523268dc0f05a0569dd654209aea46197e3f56ec149dd714f372,50000,0,49999,20260730,"kid50k_full,fid50k_full",fp32,d6aba02fb88e9db0993623895eb2228ed717d810,195ca2843791c0ea28ac5a87f3c9e0fb24a4fb8c9214b665331dbbd92648b32d,FROZEN_NOT_RUN
42,5,B_to_A,B,A,768,1,,/root/q256_switch_seed3_7_v3_formal_20260830_v1/seed5/B_to_A/kimg0768/network-snapshot.pkl,81c639e407ac7afe1362de845b11ec0bcbe6777e0e1b59426bee19a3c84cd08e,/root/q256_schedule_switch_assets/cifar10-32x32-canonical-08c9ed1b2b1c.zip,08c9ed1b2b1c523268dc0f05a0569dd654209aea46197e3f56ec149dd714f372,50000,0,49999,20260730,"kid50k_full,fid50k_full",fp32,d6aba02fb88e9db0993623895eb2228ed717d810,195ca2843791c0ea28ac5a87f3c9e0fb24a4fb8c9214b665331dbbd92648b32d,FROZEN_NOT_RUN
